"","country","date","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k"
"3500","Japan",2020-02-03,20,0,0,0,1,0,19,0,0,0
"4088","Macao",2020-02-03,8,0,0,0,0,0,8,1.2,0,1.2
"4236","Mainland China",2020-02-03,19693,3086,425,64,614,151,18654,1.4,0.2,1.3
"4265","Malaysia",2020-02-03,8,0,0,0,0,0,8,0,0,0
"4805","Nepal",2020-02-03,1,0,0,0,0,0,1,0,0,0
"5421","Philippines",2020-02-03,2,0,1,0,0,0,1,0,0,0
"5615","Republic of Korea",2020-02-03,15,0,0,0,0,0,15,0,0,0
"5823","Russia",2020-02-03,2,0,0,0,0,0,2,0,0,0
"6255","Singapore",2020-02-03,18,0,0,0,0,0,18,0.3,0,0.3
"6436","Spain",2020-02-03,1,0,0,0,0,0,1,0,0,0
"6514","Sri Lanka",2020-02-03,1,0,0,0,0,0,1,0,0,0
"6655","Sweden",2020-02-03,1,0,0,0,0,0,1,0,0,0
"6832","Taiwan",2020-02-03,10,0,0,0,0,0,10,0,0,0
"6935","Thailand",2020-02-03,19,0,0,0,5,0,14,0,0,0
"7238","UK",2020-02-03,2,0,0,0,0,0,2,0,0,0
"7386","United Arab Emirates",2020-02-03,5,0,0,0,0,0,5,0.1,0,0.1
"7458","USA",2020-02-03,11,3,0,0,0,0,11,0,0,0
"7604","Vietnam",2020-02-03,8,2,0,0,1,0,7,0,0,0
"371","Australia",2020-02-04,13,1,0,0,2,0,11,0.1,0,0
"696","Belgium",2020-02-04,1,1,0,0,0,0,1,0,0,0
"1105","Cambodia",2020-02-04,1,0,0,0,0,0,1,0,0,0
"1280","Canada",2020-02-04,4,0,0,0,0,0,4,0,0,0
"2274","Finland",2020-02-04,1,0,0,0,0,0,1,0,0,0
"2356","France",2020-02-04,6,0,0,0,0,0,6,0,0,0
"2505","Germany",2020-02-04,12,0,0,0,0,0,12,0,0,0
"2922","Hong Kong",2020-02-04,17,2,1,1,0,0,16,0.2,0,0.2
"3104","India",2020-02-04,3,0,0,0,0,0,3,0,0,0
"3395","Italy",2020-02-04,2,0,0,0,0,0,2,0,0,0
"3515","Japan",2020-02-04,22,2,0,0,1,0,21,0,0,0
"4075","Macao",2020-02-04,10,2,0,0,0,0,10,1.5,0.3,1.5
"4207","Mainland China",2020-02-04,23680,3987,490,65,843,229,22347,1.6,0.3,1.6
"4280","Malaysia",2020-02-04,10,2,0,0,0,0,10,0,0,0
"4862","Nepal",2020-02-04,1,0,0,0,0,0,1,0,0,0
"5471","Philippines",2020-02-04,2,0,1,0,0,0,1,0,0,0
"5614","Republic of Korea",2020-02-04,16,1,0,0,0,0,16,0,0,0
"5811","Russia",2020-02-04,2,0,0,0,0,0,2,0,0,0
"6247","Singapore",2020-02-04,24,6,0,0,0,0,24,0.4,0.1,0.4
"6484","Spain",2020-02-04,1,0,0,0,0,0,1,0,0,0
"6556","Sri Lanka",2020-02-04,1,0,0,0,0,0,1,0,0,0
"6701","Sweden",2020-02-04,1,0,0,0,0,0,1,0,0,0
"6780","Taiwan",2020-02-04,11,1,0,0,0,0,11,0,0,0
"6951","Thailand",2020-02-04,25,6,0,0,5,0,20,0,0,0
"7267","UK",2020-02-04,2,0,0,0,0,0,2,0,0,0
"7405","United Arab Emirates",2020-02-04,5,0,0,0,0,0,5,0.1,0,0.1
"7448","USA",2020-02-04,11,0,0,0,0,0,11,0,0,0
"7619","Vietnam",2020-02-04,8,0,0,0,1,0,7,0,0,0
"352","Australia",2020-02-05,13,0,0,0,2,0,11,0.1,0,0
"673","Belgium",2020-02-05,1,0,0,0,0,0,1,0,0,0
"1169","Cambodia",2020-02-05,1,0,0,0,0,0,1,0,0,0
"1254","Canada",2020-02-05,5,1,0,0,0,0,5,0,0,0
"2313","Finland",2020-02-05,1,0,0,0,0,0,1,0,0,0
"2399","France",2020-02-05,6,0,0,0,0,0,6,0,0,0
"2526","Germany",2020-02-05,12,0,0,0,0,0,12,0,0,0
"2892","Hong Kong",2020-02-05,21,4,1,0,0,0,20,0.3,0.1,0.3
"3088","India",2020-02-05,3,0,0,0,0,0,3,0,0,0
"3377","Italy",2020-02-05,2,0,0,0,0,0,2,0,0,0
"3531","Japan",2020-02-05,22,0,0,0,1,0,21,0,0,0
"4134","Macao",2020-02-05,10,0,0,0,0,0,10,1.5,0,1.5
"4194","Mainland China",2020-02-05,27409,3729,562,72,1115,272,25732,1.9,0.3,1.8
"4268","Malaysia",2020-02-05,12,2,0,0,0,0,12,0,0,0
"4875","Nepal",2020-02-05,1,0,0,0,0,0,1,0,0,0
"5434","Philippines",2020-02-05,2,0,1,0,0,0,1,0,0,0
"5612","Republic of Korea",2020-02-05,19,3,0,0,0,0,19,0,0,0
"5803","Russia",2020-02-05,2,0,0,0,0,0,2,0,0,0
"6228","Singapore",2020-02-05,28,4,0,0,0,0,28,0.5,0.1,0.5
"6462","Spain",2020-02-05,1,0,0,0,0,0,1,0,0,0
"6559","Sri Lanka",2020-02-05,1,0,0,0,0,0,1,0,0,0
"6689","Sweden",2020-02-05,1,0,0,0,0,0,1,0,0,0
"6837","Taiwan",2020-02-05,11,0,0,0,0,0,11,0,0,0
"6913","Thailand",2020-02-05,25,0,0,0,5,0,20,0,0,0
"7251","UK",2020-02-05,2,0,0,0,0,0,2,0,0,0
"7361","United Arab Emirates",2020-02-05,5,0,0,0,0,0,5,0.1,0,0.1
"7483","USA",2020-02-05,11,0,0,0,0,0,11,0,0,0
"7661","Vietnam",2020-02-05,8,0,0,0,1,0,7,0,0,0
"324","Australia",2020-02-06,14,1,0,0,2,0,12,0.1,0,0
"694","Belgium",2020-02-06,1,0,0,0,0,0,1,0,0,0
"1109","Cambodia",2020-02-06,1,0,0,0,0,0,1,0,0,0
"1249","Canada",2020-02-06,5,0,0,0,0,0,5,0,0,0
"2320","Finland",2020-02-06,1,0,0,0,0,0,1,0,0,0
"2323","France",2020-02-06,6,0,0,0,0,0,6,0,0,0
"2523","Germany",2020-02-06,12,0,0,0,0,0,12,0,0,0
"2908","Hong Kong",2020-02-06,24,3,1,0,0,0,23,0.3,0,0.3
"3050","India",2020-02-06,3,0,0,0,0,0,3,0,0,0
"3370","Italy",2020-02-06,2,0,0,0,0,0,2,0,0,0
"3486","Japan",2020-02-06,22,0,0,0,1,0,21,0,0,0
"4138","Macao",2020-02-06,10,0,0,0,1,1,9,1.5,0,1.4
"4182","Mainland China",2020-02-06,30553,3144,632,70,1476,361,28445,2.1,0.2,2
"4281","Malaysia",2020-02-06,12,0,0,0,0,0,12,0,0,0
"4845","Nepal",2020-02-06,1,0,0,0,0,0,1,0,0,0
"5408","Philippines",2020-02-06,2,0,1,0,0,0,1,0,0,0
"5608","Republic of Korea",2020-02-06,23,4,0,0,0,0,23,0,0,0
"5781","Russia",2020-02-06,2,0,0,0,0,0,2,0,0,0
"6194","Singapore",2020-02-06,28,0,0,0,0,0,28,0.5,0,0.5
"6468","Spain",2020-02-06,1,0,0,0,0,0,1,0,0,0
"6563","Sri Lanka",2020-02-06,1,0,0,0,0,0,1,0,0,0
"6668","Sweden",2020-02-06,1,0,0,0,0,0,1,0,0,0
"6800","Taiwan",2020-02-06,16,5,0,0,1,1,15,0.1,0,0.1
"6955","Thailand",2020-02-06,25,0,0,0,5,0,20,0,0,0
"7265","UK",2020-02-06,2,0,0,0,0,0,2,0,0,0
"7367","United Arab Emirates",2020-02-06,5,0,0,0,0,0,5,0.1,0,0.1
"7460","USA",2020-02-06,11,0,0,0,0,0,11,0,0,0
"7591","Vietnam",2020-02-06,10,2,0,0,1,0,9,0,0,0
"372","Australia",2020-02-07,15,1,0,0,2,0,13,0.1,0,0.1
"718","Belgium",2020-02-07,1,0,0,0,0,0,1,0,0,0
"1154","Cambodia",2020-02-07,1,0,0,0,0,0,1,0,0,0
"1276","Canada",2020-02-07,7,2,0,0,0,0,7,0,0,0
"1823","Diamond Princess Cruise Ship",2020-02-07,61,61,0,0,0,0,61,NA,NA,NA
"2302","Finland",2020-02-07,1,0,0,0,0,0,1,0,0,0
"2372","France",2020-02-07,6,0,0,0,0,0,6,0,0,0
"2487","Germany",2020-02-07,13,1,0,0,0,0,13,0,0,0
"2912","Hong Kong",2020-02-07,25,1,1,0,0,0,24,0.3,0,0.3
"3086","India",2020-02-07,3,0,0,0,0,0,3,0,0,0
"3388","Italy",2020-02-07,3,1,0,0,0,0,3,0,0,0
"3535","Japan",2020-02-07,25,3,0,0,1,0,24,0,0,0
"4118","Macao",2020-02-07,10,0,0,0,1,0,9,1.5,0,1.4
"4210","Mainland China",2020-02-07,34075,3522,717,85,1998,522,31360,2.4,0.2,2.2
"4278","Malaysia",2020-02-07,12,0,0,0,1,1,11,0,0,0
